## Automatically generated from "../../groot/testdata/leaves.root"
B;Str;I8;I16;I32;I64;U8;U16;U32;U64;F32;F64;D16;D32;N
true;str-0;0;0;0;0;0;0;0;0;0;0;0;0;0
false;str-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1
true;str-2;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2
false;str-3;-3;-3;-3;-3;3;3;3;3;3;3;3;3;3
true;str-4;-4;-4;-4;-4;4;4;4;4;4;4;4;4;4
false;str-5;-5;-5;-5;-5;5;5;5;5;5;5;5;5;5
true;str-6;-6;-6;-6;-6;6;6;6;6;6;6;6;6;6
false;str-7;-7;-7;-7;-7;7;7;7;7;7;7;7;7;7
true;str-8;-8;-8;-8;-8;8;8;8;8;8;8;8;8;8
false;str-9;-9;-9;-9;-9;9;9;9;9;9;9;9;9;9
