## Automatically generated from "../../groot/testdata/small-evnt-tree-fullsplit.root"
Beg;I16;I32;I64;U16;U32;U64;F32;F64;Str;P3.Px;P3.Py;P3.Pz;N;StdStr;End
beg-000;0;0;0;0;0;0;0;0;evt-000;-1;0;-1;0;std-000;end-000
beg-001;1;1;1;1;1;1;1;1;evt-001;0;1;0;1;std-001;end-001
beg-002;2;2;2;2;2;2;2;2;evt-002;1;2;1;2;std-002;end-002
beg-003;3;3;3;3;3;3;3;3;evt-003;2;3;2;3;std-003;end-003
beg-004;4;4;4;4;4;4;4;4;evt-004;3;4;3;4;std-004;end-004
beg-005;5;5;5;5;5;5;5;5;evt-005;4;5;4;5;std-005;end-005
beg-006;6;6;6;6;6;6;6;6;evt-006;5;6;5;6;std-006;end-006
beg-007;7;7;7;7;7;7;7;7;evt-007;6;7;6;7;std-007;end-007
beg-008;8;8;8;8;8;8;8;8;evt-008;7;8;7;8;std-008;end-008
beg-009;9;9;9;9;9;9;9;9;evt-009;8;9;8;9;std-009;end-009
beg-010;10;10;10;10;10;10;10;10;evt-010;9;10;9;0;std-010;end-010
beg-011;11;11;11;11;11;11;11;11;evt-011;10;11;10;1;std-011;end-011
beg-012;12;12;12;12;12;12;12;12;evt-012;11;12;11;2;std-012;end-012
beg-013;13;13;13;13;13;13;13;13;evt-013;12;13;12;3;std-013;end-013
beg-014;14;14;14;14;14;14;14;14;evt-014;13;14;13;4;std-014;end-014
beg-015;15;15;15;15;15;15;15;15;evt-015;14;15;14;5;std-015;end-015
beg-016;16;16;16;16;16;16;16;16;evt-016;15;16;15;6;std-016;end-016
beg-017;17;17;17;17;17;17;17;17;evt-017;16;17;16;7;std-017;end-017
beg-018;18;18;18;18;18;18;18;18;evt-018;17;18;17;8;std-018;end-018
beg-019;19;19;19;19;19;19;19;19;evt-019;18;19;18;9;std-019;end-019
beg-020;20;20;20;20;20;20;20;20;evt-020;19;20;19;0;std-020;end-020
beg-021;21;21;21;21;21;21;21;21;evt-021;20;21;20;1;std-021;end-021
beg-022;22;22;22;22;22;22;22;22;evt-022;21;22;21;2;std-022;end-022
beg-023;23;23;23;23;23;23;23;23;evt-023;22;23;22;3;std-023;end-023
beg-024;24;24;24;24;24;24;24;24;evt-024;23;24;23;4;std-024;end-024
beg-025;25;25;25;25;25;25;25;25;evt-025;24;25;24;5;std-025;end-025
beg-026;26;26;26;26;26;26;26;26;evt-026;25;26;25;6;std-026;end-026
beg-027;27;27;27;27;27;27;27;27;evt-027;26;27;26;7;std-027;end-027
beg-028;28;28;28;28;28;28;28;28;evt-028;27;28;27;8;std-028;end-028
beg-029;29;29;29;29;29;29;29;29;evt-029;28;29;28;9;std-029;end-029
beg-030;30;30;30;30;30;30;30;30;evt-030;29;30;29;0;std-030;end-030
beg-031;31;31;31;31;31;31;31;31;evt-031;30;31;30;1;std-031;end-031
beg-032;32;32;32;32;32;32;32;32;evt-032;31;32;31;2;std-032;end-032
beg-033;33;33;33;33;33;33;33;33;evt-033;32;33;32;3;std-033;end-033
beg-034;34;34;34;34;34;34;34;34;evt-034;33;34;33;4;std-034;end-034
beg-035;35;35;35;35;35;35;35;35;evt-035;34;35;34;5;std-035;end-035
beg-036;36;36;36;36;36;36;36;36;evt-036;35;36;35;6;std-036;end-036
beg-037;37;37;37;37;37;37;37;37;evt-037;36;37;36;7;std-037;end-037
