file: ../testdata/ndim-slice.root
rec[0][N]: [1 2]
rec[0][SliBs]: [[[[[true false true false] [true false true false] [true false true false]] [[true false true false] [true false true false] [true false true false]]]] [[[[true false true false] [true false true false] [true false true false]] [[true false true false] [true false true false] [true false true false]]] [[[true false true false] [true false true false] [true false true false]] [[true false true false] [true false true false] [true false true false]]]]]
rec[0][SliI8]: [[[[[0 -1 -2 -3] [-4 -5 -6 -7] [-8 -9 -10 -11]] [[-12 -13 -14 -15] [-16 -17 -18 -19] [-20 -21 -22 -23]]]] [[[[-1 -2 -3 -4] [-5 -6 -7 -8] [-9 -10 -11 -12]] [[-13 -14 -15 -16] [-17 -18 -19 -20] [-21 -22 -23 -24]]] [[[-25 -26 -27 -28] [-29 -30 -31 -32] [-33 -34 -35 -36]] [[-37 -38 -39 -40] [-41 -42 -43 -44] [-45 -46 -47 -48]]]]]
rec[0][SliI16]: [[[[[0 -1 -2 -3] [-4 -5 -6 -7] [-8 -9 -10 -11]] [[-12 -13 -14 -15] [-16 -17 -18 -19] [-20 -21 -22 -23]]]] [[[[-1 -2 -3 -4] [-5 -6 -7 -8] [-9 -10 -11 -12]] [[-13 -14 -15 -16] [-17 -18 -19 -20] [-21 -22 -23 -24]]] [[[-25 -26 -27 -28] [-29 -30 -31 -32] [-33 -34 -35 -36]] [[-37 -38 -39 -40] [-41 -42 -43 -44] [-45 -46 -47 -48]]]]]
rec[0][SliI32]: [[[[[0 -1 -2 -3] [-4 -5 -6 -7] [-8 -9 -10 -11]] [[-12 -13 -14 -15] [-16 -17 -18 -19] [-20 -21 -22 -23]]]] [[[[-1 -2 -3 -4] [-5 -6 -7 -8] [-9 -10 -11 -12]] [[-13 -14 -15 -16] [-17 -18 -19 -20] [-21 -22 -23 -24]]] [[[-25 -26 -27 -28] [-29 -30 -31 -32] [-33 -34 -35 -36]] [[-37 -38 -39 -40] [-41 -42 -43 -44] [-45 -46 -47 -48]]]]]
rec[0][SliI64]: [[[[[0 -1 -2 -3] [-4 -5 -6 -7] [-8 -9 -10 -11]] [[-12 -13 -14 -15] [-16 -17 -18 -19] [-20 -21 -22 -23]]]] [[[[-1 -2 -3 -4] [-5 -6 -7 -8] [-9 -10 -11 -12]] [[-13 -14 -15 -16] [-17 -18 -19 -20] [-21 -22 -23 -24]]] [[[-25 -26 -27 -28] [-29 -30 -31 -32] [-33 -34 -35 -36]] [[-37 -38 -39 -40] [-41 -42 -43 -44] [-45 -46 -47 -48]]]]]
rec[0][SliU8]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliU16]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliU32]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliU64]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliF32]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliF64]: [[[[[0 1 2 3] [4 5 6 7] [8 9 10 11]] [[12 13 14 15] [16 17 18 19] [20 21 22 23]]]] [[[[1 2 3 4] [5 6 7 8] [9 10 11 12]] [[13 14 15 16] [17 18 19 20] [21 22 23 24]]] [[[25 26 27 28] [29 30 31 32] [33 34 35 36]] [[37 38 39 40] [41 42 43 44] [45 46 47 48]]]]]
rec[0][SliD16]: [[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23] [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]]
rec[0][SliD32]: [[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23] [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]]
